小区名,成交时间,成交价格,成交单价,挂牌价格（万）,成交周期（天）,调价（次）,带看（次）,关注（人）,浏览（次）,房屋户型,所在楼层,总共层数,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建成年代,装修情况,建筑结构,供暖方式,梯户比例,产权年限,配备电梯,链家编号,交易权属,挂牌时间,房屋用途,房屋年限,房权所属,成交价格（历史1）,成交单价（历史1）,成交时间（历史1）,成交价格（历史2）,成交单价（历史2）,成交时间（历史2）,成交价格（历史3）,成交单价（历史3）,成交时间（历史3）,成交价格（历史4）,成交单价（历史4）,成交时间（历史4）,成交价格（历史5）,成交单价（历史5）,成交时间（历史5）,成交价格（历史6）,成交单价（历史6）,成交时间（历史6）
爱民里小区,2017.08.20 ,956万,128151,1007,12,0,26,67,2683,2室1厅1厨1卫,中楼层,6,74.6,平层,49.4,板楼,南 北,1990,简装,混合结构,集中供暖,一梯两户,70年,无,101101924803,央产房,2017-08-09,普通住宅,满五年,非共有,956,128151,2017-08-20
白纸坊西街,2017.08.20 ,490万,77655,590,154,2,37,110,7436,2室1厅1厨1卫,中楼层,16,63.1,暂无数据,暂无数据,塔楼,北,1989,精装,混合结构,集中供暖,两梯八户,70年,有,101101362159,已购公房,2017-03-20,普通住宅,满五年,非共有,490,77655,2017-08-20
广安苑一期,2017.08.20 ,506万,86555,526,36,4,66,78,5558,2室1厅1厨1卫,中楼层,6,58.46,暂无数据,41.4,板楼,西 北,1986,简装,混合结构,集中供暖,一梯五户,70年,无,101101822206,已购公房,2017-07-16,普通住宅,满五年,非共有,506,86555,2017-08-20
南露园,2017.08.20 ,838万,106211,860,7,0,8,58,1745,2室1厅1厨1卫,底层,6,78.9,暂无数据,暂无数据,板楼,南 北,1993,其他,混合结构,集中供暖,一梯三户,70年,无,101101946295,商品房,2017-08-13,普通住宅,满五年,非共有,838,106211,2017-08-20,305,38657,2012-06-03
远见名苑,2017.08.20 ,436万,75498,520,77,1,107,101,8207,1室0厅1厨1卫,高楼层,24,57.75,平层,42.31,塔楼,西,2004,简装,钢混结构,自供暖,四梯二十户,70年,有,101101661490,商品房,2017-06-04,普通住宅,满两年,非共有,436,75498,2017-08-20,暂无价格,其他公司成交,2013-12
广安门外大街,2017.08.20 ,456万,89518,479,6,1,1,15,418,1室1厅1厨1卫,低楼层,18,50.94,暂无数据,暂无数据,塔楼,西,1991,简装,钢混结构,集中供暖,两梯八户,70年,有,101101948922,已购公房,2017-08-14,普通住宅,满五年,非共有,456,89518,2017-08-20
南露园,2017.08.20 ,448万,102051,470,8,0,20,40,1365,1室1厅1厨1卫,底层,6,43.9,暂无数据,暂无数据,板楼,南,1993,毛坯,混合结构,集中供暖,一梯四户,70年,无,101101943037,商品房,2017-08-13,普通住宅,满两年,非共有,448,102051,2017-08-20
德胜里一区,2017.08.19 ,760万,124591,820,58,2,40,18,1229,2室1厅1厨1卫,顶层,5,61,暂无数据,40,板楼,南 北,1989,简装,混合结构,集中供暖,一梯三户,70年,无,101101731490,商品房,2017-06-23,普通住宅,满五年,非共有,760,124591,2017-08-19
复兴门外大街,2017.08.19 ,601万,109873,650,44,0,75,123,6503,2室1厅1厨1卫,低楼层,12,54.7,暂无数据,38.04,板塔结合,南 北,1981,简装,钢混结构,集中供暖,两梯十八户,70年,有,101101784925,已购公房,2017-07-07,普通住宅,暂无数据,非共有,601,109873,2017-08-19
百万庄17号院,2017.08.19 ,580万,96186,620,67,3,41,151,9197,3室1厅1厨1卫,底层,5,60.3,暂无数据,42.68,板楼,东 南 北,1976,简装,混合结构,暂无数据,一梯三户,未知,暂无数据,101101698625,已购公房,2017-06-14,普通住宅,暂无数据,非共有,580,96186,2017-08-19
